document_id,taxonomy_label_id,taxonomy_label,relevance_score,confidence_bin,similarity_score_global,similarity_score_sent,similarity_score_key,global_bin,local_bin,num_matching_sentences,num_sentences
astro_001,red_giants,Astrophysics > Stellar Physics > Stellar Evolution > Red Giant Branch,0.5089778244495392,high,0.5689080357551575,0.6766108274459839,0.0,high,high,1,2
astro_001,high_z_galaxies,Astrophysics > Galactic Astrophysics > Galaxy Evolution > High-Redshift Galaxies,0.27128684520721436,low,0.0,0.5425736904144287,0.0,low,low,1,2
astro_001,asymptotic_giants,Astrophysics > Stellar Physics > Stellar Evolution > Asymptotic Giant Branch,0.2690845727920532,low,0.0,0.5381691455841064,0.0,low,low,1,2
astro_001,spectroscopic_binaries,Astrophysics > Stellar Physics > Binary Stars > Spectroscopic Binaries,0.2472974807024002,low,0.0,0.4945949614048004,0.0,low,low,1,2
astro_001,star_formation,Astrophysics > Galactic Astrophysics > Star Formation,0.3946445852518081,medium,0.501787006855011,0.48821696639060974,0.0,medium,medium,1,2
astro_001,horizontal_branch,Astrophysics > Stellar Physics > Stellar Evolution > Horizontal Branch Stars,0.24379412829875946,low,0.0,0.4875882565975189,0.0,low,low,1,2
astro_001,redshift_surveys,Astrophysics > Cosmology > Large-Scale Structure > Redshift Surveys,0.243495911359787,low,0.0,0.486991822719574,0.0,low,low,1,2
astro_001,galactic,Astrophysics > Galactic Astrophysics,0.2400793433189392,low,0.0,0.4801586866378784,0.0,low,low,1,2
astro_001,galactic_bulge,Astrophysics > Galactic Astrophysics > Milky Way Structure > Galactic Bulge,0.23526564240455627,low,0.0,0.47053128480911255,0.0,low,low,1,2
astro_001,quenching,Astrophysics > Galactic Astrophysics > Galaxy Evolution > Star Formation Quenching,0.2332312911748886,low,0.0,0.4664625823497772,0.0,low,low,1,2
astro_001,chemical_abundances,Astrophysics > Stellar Physics > Stellar Atmospheres > Chemical Abundances,0.25974491238594055,low,0.0,0.5194898247718811,0.0,low,low,1,2
astro_002,super_earths,Astrophysics > Planetary Science > Exoplanets > Super-Earths,0.47556723356246944,high,0.5768304467201233,0.605036199092865,0.0,high,high,1,2
astro_002,habitable_zone,Astrophysics > Planetary Science > Exoplanets > Habitable Zone Planets,0.43745077848434444,high,0.5318742394447327,0.5557770133018494,0.0,high,high,1,2
astro_002,exoplanets,Astrophysics > Planetary Science > Exoplanets,0.41716652512550356,medium,0.5227183103561401,0.520702064037323,0.0,medium,medium,1,2
astro_002,hot_jupiters,Astrophysics > Planetary Science > Exoplanets > Hot Jupiters,0.4022999823093414,medium,0.5066185593605042,0.5006288290023804,0.0,medium,medium,1,2
astro_002,transit_method,Astrophysics > Planetary Science > Exoplanets > Transit Photometry,0.3826374441385269,low,0.4938574731349945,0.46896040439605713,0.0,medium,low,1,2
